,DoY,Hour,Tair,Rg,GPP_uStar_f,PAR,GPP_Sim,LAI_Sim
35207,4.0,11.5,1.254,426.72,0.28213,878.0246913580248,17.537484331418614,0.0054
35208,4.0,12.0,1.584,409.0,0.5212399999999999,841.5637860082305,16.80922171810605,0.0054
35209,4.0,12.5,1.855,361.96,0.8205100000000001,744.7736625514403,14.875955728815807,0.0054
35210,4.0,13.0,2.42,314.92,0.71811,647.9835390946503,12.942689739525568,0.0054
35211,4.0,13.5,2.3698,240.61,0.54757,495.082304526749,9.888671974556226,0.0054
35212,4.0,14.0,2.4831,180.47,0.74839,371.3374485596708,7.417017710187283,0.0054
35213,4.0,14.5,2.7744,136.39,0.5512199999999999,280.6378600823045,5.605402812059862,0.0054
35214,4.0,15.0,3.028,91.12,0.072641,187.4897119341564,3.7448808874176605,0.0054
35215,4.0,15.5,3.0561,48.4,0.20661,99.58847736625515,1.989159733878564,0.0054
35216,4.0,16.0,2.8572,12.3,0.17882,25.308641975308642,0.5055096017914533,0.0054
35248,5.0,8.0,0.6314,36.57,0.030317,75.24691358024691,1.5029663526433694,0.0054
35249,5.0,8.5,0.8039,71.69,0.33239,147.5102880658436,2.9463401099536,0.0054
35250,5.0,9.0,0.8303,63.3,0.3622599999999999,130.2469135802469,2.6015250238535765,0.0054
35251,5.0,9.5,0.831,82.61,0.33318,169.97942386831275,3.395134000324549,0.0054
35252,5.0,10.0,1.1228,89.4,0.16237,183.95061728395063,3.6741917398500754,0.0054
35253,5.0,10.5,1.2702,116.53,-0.10302,239.77366255144034,4.789189747703906,0.0054
35254,5.0,11.0,1.4318,114.77,-0.093675,236.15226337448559,4.7168566664719584,0.0054
35255,5.0,11.5,1.3387,103.38,-0.050281,212.71604938271605,4.248746555544751,0.0054
35256,5.0,12.0,1.3721,51.84,0.067239,106.66666666666667,2.130538029013735,0.0054
35257,5.0,12.5,1.4209,69.34,-0.046178,142.67489711934158,2.849759007172307,0.0054
35258,5.0,13.0,1.3462,92.28,-0.05113,189.87654320987656,3.7925549636841716,0.0054
35259,5.0,13.5,1.2862,107.65,0.11455,221.50205761316874,4.4242364742154425,0.0054
35260,5.0,14.0,1.2739,56.73,0.025171,116.72839506172839,2.331508919482044,0.0054
35261,5.0,14.5,0.8179,42.41,0.036048,87.2633744855967,1.742980667640287,0.0054
35262,5.0,15.0,0.6559,18.82,0.027719,38.724279835390945,0.7734707890825325,0.0054
35263,5.0,15.5,0.4667,12.62,0.045905,25.96707818930041,0.5186610711063528,0.0054
35295,6.0,7.5,-0.3261,12.3,-0.010202,25.308641975308642,0.5055096017914533,0.0054
35296,6.0,8.0,-0.2426,15.9,0.006092,32.71604938271605,0.6534636315840737,0.0054
35297,6.0,8.5,-0.3105,29.31,0.007055,60.30864197530864,1.204592392561585,0.0054
35298,6.0,9.0,-0.0715,34.85,0.0705409999999999,71.70781893004116,1.4322772050757844,0.0054
35299,6.0,9.5,0.0511,44.08,0.099388,90.69958847736625,1.8116148981274194,0.0054
35300,6.0,10.0,0.0749,60.34,0.8362299999999999,124.15637860082306,2.4798739326907557,0.0054
35301,6.0,10.5,0.2906,99.41,0.62188,204.54732510288065,4.085586139356778,0.0054
35302,6.0,11.0,0.5622,125.26,0.59504,257.73662551440333,5.147978269951012,0.0054
35303,6.0,11.5,0.9635,167.07,0.18642,343.7654320987654,6.866299932625862,0.0054
35304,6.0,12.0,1.723,221.39,0.68702,455.5349794238683,9.098761848830069,0.0054
35305,6.0,12.5,1.2626,56.67,0.0050333999999999,116.60493827160495,2.3290430189855007,0.0054
35306,6.0,13.0,0.0952,73.34,0.8291700000000001,150.9053497942387,3.014152373608552,0.0054
35307,6.0,13.5,0.0189,127.15,0.7480600000000001,261.6255144032922,5.225654135592137,0.0054
35308,6.0,14.0,-0.6529,111.0,0.75768,228.39506172839506,4.561915918605798,0.0054
35309,6.0,14.5,-1.0257,95.91,0.7611399999999999,197.34567901234567,3.9417419437250634,0.0054
35310,6.0,15.0,-1.5873,89.63,0.7289899999999999,184.4238683127572,3.683644358420159,0.0054
35311,6.0,15.5,-1.3609,96.53,0.74139,198.62139917695475,3.967222915522682,0.0054
35343,7.0,7.5,-12.1801,52.6,-0.10178,108.23045267489712,2.1617727686366215,0.0054
35344,7.0,8.0,-11.9948,134.24,-1.1795,276.21399176954736,5.517041377600382,0.0054
35345,7.0,8.5,-11.6127,190.51,-0.4904699999999999,391.99588477366257,7.829645059942258,0.0054
35346,7.0,9.0,-11.2273,256.05,-0.83435,526.8518518518518,10.52323036900013,0.0054
35347,7.0,9.5,-10.6716,320.98,-0.37537,660.4526748971194,13.191745689676479,0.0054
35348,7.0,10.0,-10.0552,291.96,-1.8365,600.7407407407408,11.99907181618152,0.0054
35349,7.0,10.5,-9.5831,332.41,-0.46473,683.9711934156379,13.661499734268048,0.0054
35350,7.0,11.0,-8.9138,340.36,-0.49461,700.3292181069959,13.988231550060084,0.0054
35351,7.0,11.5,-8.7728,368.43,-0.53155,758.0864197530865,15.141861999026434,0.0054
35352,7.0,12.0,-8.5076,371.83,-0.57547,765.082304526749,15.281596360497241,0.0054
35353,7.0,12.5,-8.1314,315.45,0.39228,649.074074074074,12.964471860578367,0.0054
35354,7.0,13.0,-7.6765,314.81,0.41329,647.7572016460906,12.93816892194857,0.0054
35355,7.0,13.5,-7.3222,314.03,0.42982,646.1522633744855,12.9061122154935,0.0054
35356,7.0,14.0,-7.2273,270.62,-0.2904199999999999,556.8312757201646,11.122033206244152,0.0054
35357,7.0,14.5,-7.0594,163.81,0.02499,337.0576131687243,6.732319338980322,0.0054
35358,7.0,15.0,-7.154,59.92,-0.26326,123.29218106995886,2.46261262921495,0.0054
35359,7.0,15.5,-7.1789,33.26,-0.0210759999999999,68.43621399176955,1.366930841917377,0.0054
35360,7.0,16.0,-7.2319,18.88,0.0127099999999999,38.8477366255144,0.7759366895790761,0.0054
35392,8.0,8.0,-3.6516,11.09,-0.15482,22.818930041152264,0.45578060844448914,0.0054
35393,8.0,8.5,-3.3483,21.02,-0.15006,43.251028806584365,0.8638871406224673,0.0054
35394,8.0,9.0,-3.0607,27.23,-0.12946,56.028806584362144,1.1191078420147376,0.0054
35395,8.0,9.5,-2.6441,49.62,-0.10259,102.09876543209876,2.0392997106416186,0.0054
35396,8.0,10.0,-2.1622,48.68,-0.095915,100.16460905349794,2.0006672695291012,0.0054
35397,8.0,10.5,-1.7307,72.26,0.69198,148.68312757201647,2.9697661646707654,0.0054
35398,8.0,11.0,-1.3801,66.74,0.71063,137.32510288065842,2.742903318988747,0.0054
35399,8.0,11.5,-0.9479,89.67,0.73148,184.50617283950618,3.6852882920845214,0.0054
35400,8.0,12.0,-0.5613,84.21,0.75237,173.2716049382716,3.460891346899047,0.0054
35401,8.0,12.5,-0.381,105.55,0.7368100000000001,217.18106995884773,4.337929956836414,0.0054
35402,8.0,13.0,-0.1796,110.09,0.74758,226.52263374485597,4.524516427741552,0.0054
35403,8.0,13.5,0.3543,67.61,0.62934,139.11522633744858,2.7786588761886306,0.0054
35404,8.0,14.0,1.0398,56.48,0.30915,116.21399176954732,2.321234334079779,0.0054
35405,8.0,14.5,1.5052,45.35,-0.065807,93.3127572016461,1.8638097919709273,0.0054
35406,8.0,15.0,1.6934,30.7,-0.08432,63.16872427983539,1.26171908739818,0.0054
35407,8.0,15.5,1.7999,21.95,-0.093408,45.16460905349794,0.9021085983188942,0.0054
35439,9.0,7.5,0.5749,10.0,0.0678049999999999,20.5761316872428,0.41098341609061245,0.0054
35440,9.0,8.0,0.3301,18.67,0.064575,38.415637860082306,0.7673060378411733,0.0054
35441,9.0,8.5,0.1523,43.14,0.036291,88.76543209876543,1.772982457014902,0.0054
35442,9.0,9.0,0.3871,60.26,0.52507,123.9917695473251,2.4765860653620306,0.0054
35443,9.0,9.5,0.5225,102.29,0.47397,210.4732510288066,4.203949363190874,0.0054
35444,9.0,10.0,1.511943,197.97,0.18777,407.34567901234567,8.136238688345854,0.0054
35445,9.0,10.5,1.511943,197.97,0.18733,407.34567901234567,8.136238688345854,0.0054
35446,9.0,11.0,1.1584,160.76,0.13647,330.7818930041152,6.606969397072684,0.0054
35447,9.0,11.5,1.4169,163.11,-0.1479599999999999,335.6172839506173,6.703550499853979,0.0054
35448,9.0,12.0,1.9706,190.88,0.74217,392.75720164609055,7.84485144633761,0.0054
35449,9.0,12.5,2.042,146.72,0.10818,301.89300411522635,6.029948680881465,0.0054
35450,9.0,13.0,1.981,148.71,0.1043,305.9876543209877,6.111734380683498,0.0054
35451,9.0,13.5,1.8618,179.13,0.7347100000000001,368.58024691358025,7.36194593243114,0.0054
35452,9.0,14.0,1.9792,93.61,-0.10003,192.61316872427983,3.8472157580242228,0.0054
35453,9.0,14.5,1.6749,49.11,-0.077377,101.04938271604938,2.0183395564209974,0.0054
35454,9.0,15.0,1.3004,32.0,-0.11872,65.84362139917695,1.3151469314899598,0.0054
35455,9.0,15.5,1.0225,28.0,0.0225439999999999,57.61316872427984,1.1507535650537148,0.0054
35487,10.0,7.5,-3.3626,10.1,-0.30572,20.781893004115226,0.4150932502515185,0.0054
35488,10.0,8.0,-3.599,42.7,-0.22465,87.86008230452676,1.754899186706915,0.0054
35489,10.0,8.5,-3.7501,67.73,0.35564,139.3621399176955,2.783590677181718,0.0054
35490,10.0,9.0,-3.8487,69.07,0.3291699999999999,142.119341563786,2.83866245493786,0.0054
